,name,brand,2G,3G,4G,5G,Announced,Status,Weight,Length,Width,Diameter,SIM,Display Type,Display Size,ppi,body ratio,OS,battery_capacity,Price,CPU,ratio,pixel,WLAN,Colors,Sensors,Bluetooth,GPU,Loudspeaker,3.5mm jack,Chipset,Network,Card slot,Storage,RAM
1200,htc desire 210 dual sim,htc,True,True,False,False,2014.0,Discontinued,130.0,125.7,65.0,10.5,Micro-SIM,TFT,4.0,233.0,55.7,Android 4.2.2,1300.0,100.0,2.0,5:3,384000.0,"Wi-Fi 802.11 b/g/n, hotspot","Black, white, red",Accelerometer,"4.0, A2DP, aptX",Mali-400,True,True,Mediatek MT6572M (28 nm),GSM / HSPA HSPA 21.1/5.76 Mbps,microSDHC (dedicated slot),4GB,512MB
1201,htc one (m8) cdma,htc,True,True,True,False,2014.0,Discontinued,160.0,146.4,70.6,9.4,Nano-SIM,Super LCD3,5.0,441.0,66.7,Android 4.4.2,2600.0,250.0,4.0,16:9,2073600.0,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA, hotspot","Gunmetal Gray, Glacial Silver","Accelerometer, gyro, proximity, compass, barometer","4.0, A2DP, aptX",Adreno 330,False,True,Qualcomm MSM8974AB Snapdragon 801 (28 nm),"GSM / CDMA / HSPA / EVDO / LTE HSPA 14.4/5.76 Mbps, LTE Cat4 150/50 Mbps",microSDXC (dedicated slot),32GB,2GB
1202,htc one (m8),htc,True,True,True,False,2014.0,Discontinued,160.0,146.4,70.6,9.4,Nano-SIM,Super LCD3,5.0,441.0,66.7,Android 4.4.2,2600.0,250.0,4.0,16:9,2073600.0,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA, hotspot","Gunmetal Gray, Glacial Silver, Amber Gold","Accelerometer, gyro, proximity, compass, barometer","4.0, A2DP, aptX",Adreno 330,False,True,Qualcomm MSM8974AB Snapdragon 801 (28 nm),"GSM / HSPA / LTE HSPA 42.2/21.1(AT&T)/5.76 Mbps, LTE Cat4 150/50 Mbps",microSDXC (dedicated slot),16GB,2GB
1203,htc desire 310 dual sim,htc,True,True,False,False,2014.0,Discontinued,140.0,131.4,68.0,11.3,Mini-SIM,TFT,4.5,218.0,62.5,Android 4.2.2,2000.0,140.0,4.0,16:9,409920.0,"Wi-Fi 802.11 b/g/n, hotspot","Black, White, Red",Accelerometer,"4.0, A2DP, aptX",Mali-400MP2,True,True,Mediatek MT6582M (28 nm),GSM / HSPA HSPA 21.1/5.76 Mbps,microSDHC (dedicated slot),4GB,512MB
1204,htc desire 310,htc,True,True,False,False,2014.0,Discontinued,140.0,132.4,68.0,11.3,Mini-SIM,TFT,4.5,218.0,62.0,Android 4.2.2,2000.0,150.0,4.0,16:9,409920.0,"Wi-Fi 802.11 b/g/n, hotspot","Black, White, Red",Accelerometer,"4.0, A2DP, aptX",Mali-400MP2,True,True,Mediatek MT6582M (28 nm),GSM / HSPA HSPA 21.1/5.76 Mbps,microSDHC (dedicated slot),4GB,512MB
1205,htc desire 816 dual sim,htc,True,True,False,False,2014.0,Discontinued,165.0,156.6,78.7,7.9,Nano-SIM,Super LCD2,5.5,267.0,67.7,Android 4.4.2,2600.0,250.0,4.0,16:9,921600.0,"Wi-Fi 802.11 b/g/n, DLNA, hotspot","Black, White","Accelerometer, proximity, compass","4.0, A2DP, aptX",Adreno 305,False,True,Qualcomm Snapdragon 400 (28 nm),GSM / HSPA HSPA 14.4/5.76 Mbps,microSDXC (dedicated slot),8GB,1.5GB
1206,htc desire 816,htc,True,True,True,False,2014.0,Discontinued,165.0,156.6,78.7,7.9,Nano-SIM,Super LCD2,5.5,267.0,67.7,Android 4.4.2,2600.0,250.0,4.0,16:9,921600.0,"Wi-Fi 802.11 b/g/n, DLNA, hotspot","Black, White, Red, Gray, Green","Accelerometer, proximity, compass","4.0, A2DP, aptX",Adreno 305,False,True,Qualcomm MSM8928 Snapdragon 400 (28 nm),"GSM / HSPA / LTE HSPA, LTE",microSDXC (dedicated slot),8GB,1.5GB
1207,htc desire 610,htc,True,True,True,False,2014.0,Discontinued,143.5,143.1,70.5,9.6,Nano-SIM,"IPS LCD,",4.7,234.0,60.4,Android 4.4.2,2040.0,200.0,4.0,16:9,518400.0,"Wi-Fi 802.11 b/g/n, DLNA, hotspot","Black, White, Red, Gray, Green","Accelerometer, proximity","4.0, A2DP, aptX",Adreno 305,False,True,Qualcomm Snapdragon 400 (28 nm),"GSM / HSPA / LTE HSPA, LTE",microSDXC (dedicated slot),8GB,1GB
1208,htc desire 501 dual sim,htc,True,True,False,False,2013.0,Discontinued,130.0,128.5,66.7,9.8,Micro-SIM,Super LCD2,4.3,217.0,61.4,Android 4.1,2100.0,190.0,2.0,5:3,384000.0,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot, DLNA","Black, White, Pink","Accelerometer, proximity, compass","4.0, A2DP, aptX",Mali-400,True,True,NovaThor U8500,GSM / HSPA HSPA 14.4/5.76 Mbps,microSDXC (dedicated slot),8GB,1GB
1209,htc desire 700,htc,True,True,False,False,2014.0,Discontinued,149.0,145.5,72.0,10.3,Micro-SIM,"IPS LCD,",5.0,220.0,65.8,Android 4.1.2,2100.0,220.0,4.0,16:9,518400.0,"Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct, DLNA, hotspot",Black,"Accelerometer, proximity, compass","4.0, A2DP, aptX",Mali-400,False,True,Spreadtrum Shark,"GSM / CDMA / HSPA HSPA 14.4/5.76 Mbps, EV-DO Rev. B",microSDXC (dedicated slot),8GB,1GB
1210,htc desire 700 dual sim,htc,True,True,False,False,2013.0,Discontinued,149.0,145.5,72.0,10.3,Micro-SIM,"IPS LCD,",5.0,220.0,65.8,Android 4.1.2,2100.0,250.0,4.0,16:9,518400.0,"Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct, DLNA, hotspot",Black,"Accelerometer, proximity, compass","4.0, A2DP, aptX",Mali-400,False,True,Spreadtrum Shark,GSM / HSPA HSPA 14.4/5.76 Mbps,microSDXC (dedicated slot),8GB,1GB
1211,htc desire 601 dual sim,htc,True,True,False,False,2013.0,Discontinued,130.0,134.5,66.7,9.9,Micro-SIM,TFT,4.5,245.0,62.2,Android 4.2.2,2100.0,270.0,4.0,16:9,518400.0,"Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct, hotspot, DLNA","Black, Red, White","Accelerometer, proximity","4.0, A2DP, aptX",Broadcom VideoCore IV,False,True,,GSM / HSPA HSPA 21.1/5.76 Mbps,microSDXC (dedicated slot),4GB,1GB
1212,htc desire 501,htc,True,True,False,False,2013.0,Discontinued,130.0,128.5,66.7,9.8,Micro-SIM,TFT,4.3,217.0,61.4,Android OS,2100.0,240.0,2.0,5:3,384000.0,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot, DLNA","Black, White, Pink","Accelerometer, proximity, compass","4.0, A2DP, aptX",,True,True,,GSM / HSPA HSPA 14.4/5.76 Mbps,microSDHC (dedicated slot),8GB,1GB
1213,htc one max,htc,True,True,True,False,2013.0,Discontinued,217.0,164.5,82.5,10.3,Micro-SIM,Super LCD3,5.9,373.0,70.7,Android 4.3,3300.0,370.0,4.0,16:9,2073600.0,"Wi-Fi 802.11 a/b/g/n/ac, Wi-Fi Direct, DLNA, hotspot","Silver, Black, Gold","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","4.0, A2DP, aptX",Adreno 320,False,True,Qualcomm APQ8064 Snapdragon 600,"GSM / CDMA / HSPA / LTE HSPA, LTE Cat3 100/50 Mbps",microSDXC (dedicated slot),16GB,2GB
1214,htc desire 300,htc,True,True,False,False,2013.0,Discontinued,120.0,131.8,66.2,10.1,Micro-SIM,TFT,4.3,217.0,60.3,Android 4.1.2,1650.0,160.0,2.0,5:3,384000.0,"Wi-Fi 802.11 b/g/n, hotspot","Black, White","Accelerometer, proximity","4.0, A2DP, aptX",Adreno 203,True,True,Qualcomm MSM8225 Snapdragon S4 Play,GSM / HSPA HSPA 7.2/5.76 Mbps,microSDHC (dedicated slot),4GB,512MB
1215,htc desire 601,htc,True,True,True,False,2013.0,Discontinued,130.0,134.5,66.7,9.9,Micro-SIM,TFT,4.5,245.0,62.2,Android 4.2.2,2100.0,230.0,2.0,16:9,518400.0,"Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct, hotspot, DLNA","Black, Silver, Red","Accelerometer, proximity","4.0, A2DP, aptX",Adreno 305,False,True,Qualcomm Snapdragon 400 (28 nm),"GSM / HSPA / LTE HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",microSDXC (dedicated slot),8GB,1GB
1216,htc desire 500,htc,True,True,False,False,2013.0,Discontinued,123.0,131.8,66.9,9.9,Micro-SIM,TFT,4.3,217.0,59.7,Android 4.1.2,1800.0,180.0,4.0,5:3,384000.0,"Wi-Fi 802.11 b/g/n, hotspot, DLNA","Black, Silver","Accelerometer, proximity","4.0, A2DP, aptX",Adreno 203,True,True,Qualcomm MSM8225Q Snapdragon S4 Play,GSM / HSPA HSPA 7.2/5.76 Mbps,microSDXC (dedicated slot),4GB,1GB
1217,htc one mini,htc,True,True,True,False,2013.0,Discontinued,122.0,132.0,63.2,9.3,Micro-SIM,Super LCD2,4.3,342.0,61.1,Android 4.2.2,1800.0,240.0,2.0,16:9,921600.0,"Wi-Fi 802.11 a/b/g/n, dual band, DLNA","Glacial Silver, Stealth Black, Blue","Accelerometer, gyro, proximity, compass","4.0, A2DP, aptX",Adreno 305,False,True,Qualcomm Snapdragon 400 (28 nm),"GSM / HSPA / LTE HSPA, LTE",No,16GB,1GB
1218,htc desire l,htc,True,True,False,False,2013.0,Discontinued,118.0,128.0,66.9,8.9,Micro-SIM,Super LCD2,4.3,217.0,61.5,Android 4.1.2,1800.0,,2.0,5:3,384000.0,"Wi-Fi 802.11 b/g/n, hotspot","White, Black, Pink","Accelerometer, proximity","4.0, A2DP, aptX",Adreno 203,True,True,Qualcomm MSM8225 Snapdragon S4 Play,GSM / HSPA HSPA 7.2/5.76 Mbps,microSDHC (dedicated slot),4GB,1GB
1219,htc desire p,htc,True,True,False,False,2013.0,Discontinued,136.0,129.7,67.9,10.7,Micro-SIM,Super LCD2,4.3,217.0,59.8,Android 4.1,1620.0,,2.0,5:3,384000.0,"Wi-Fi 802.11 b/g/n, hotspot","White, Red","Accelerometer, proximity","4.0, A2DP, aptX",,True,True,,GSM / HSPA HSPA,microSDHC (dedicated slot),4GB,768MB
1220,htc desire q,htc,True,True,False,False,2013.0,Discontinued,114.0,118.5,62.3,9.3,,IPS LCD,4.0,233.0,61.7,Android 4.0,1650.0,,,5:3,384000.0,"Wi-Fi 802.11 b/g/n, hotspot","White, Black, Red","Accelerometer, proximity","4.0, A2DP, aptX",Adreno 200,True,True,Qualcomm MSM7227A Snapdragon S1,GSM / HSPA HSPA 7.2/5.76 Mbps,microSDHC (dedicated slot),4GB,512MB
1221,htc 8xt,htc,True,True,True,False,2013.0,Discontinued,120.0,132.1,66.0,9.9,Micro-SIM,IPS LCD,4.3,217.0,60.4,Phone 8,1800.0,170.0,2.0,5:3,384000.0,"Wi-Fi 802.11 a/b/g/n, dual-band, hotspot",Violet,"Accelerometer, proximity, compass","4.0, A2DP",Adreno 305,False,True,Qualcomm MSM8930 Snapdragon 400 (28 nm),"CDMA / EVDO / LTE EV-DO Rev.A 3.1 Mbps, LTE",microSDXC (dedicated slot),8GB,1GB
1222,htc butterfly s,htc,True,True,True,False,2013.0,Discontinued,160.0,144.5,70.5,10.6,Micro-SIM,Super LCD3,5.0,441.0,67.7,Android 4.2.2,3200.0,300.0,4.0,16:9,2073600.0,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA, hotspot","Black, White, Red, Gray","Accelerometer, gyro, proximity, compass","4.0, A2DP, aptX",Adreno 320,False,True,Qualcomm APQ8064T Snapdragon 600,"GSM / HSPA / LTE HSPA, LTE",microSDXC (dedicated slot),16GB,2GB
1223,htc desire 200,htc,True,True,False,False,2013.0,Discontinued,100.0,107.7,60.8,11.9,Mini-SIM,TFT,3.5,165.0,55.7,Android 4,1230.0,100.0,,3:2,153600.0,"Wi-Fi 802.11 b/g/n, hotspot","Black, White","Accelerometer, proximity","4.0, A2DP, aptX",,True,True,,GSM / HSPA HSPA 7.2/5.76 Mbps,microSDHC (dedicated slot),4GB,512MB
1224,htc desire 600 dual sim,htc,True,True,False,False,2013.0,Discontinued,130.0,134.8,67.0,9.3,Micro-SIM,Super LCD2,4.5,245.0,61.8,Android 4.1.2,1860.0,290.0,4.0,16:9,518400.0,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot, DLNA","Black, White","Accelerometer, proximity","4.0, A2DP, aptX",Adreno 203,False,True,Qualcomm MSM8625Q Snapdragon 200 (45 nm),GSM / HSPA HSPA 7.2/5.76 Mbps,microSDXC (dedicated slot),8GB,1GB
1225,htc first,htc,True,True,True,False,2013.0,Discontinued,123.9,126.0,65.0,8.9,Micro-SIM,Super LCD,4.3,342.0,62.2,Android 4.1,2000.0,200.0,2.0,16:9,921600.0,"Wi-Fi 802.11 a/b/g/n, dual-band, hotspot","White, Black, Red, Pale Blue","Accelerometer, gyro, proximity, compass","4.0, A2DP, LE",Adreno 305,True,True,Qualcomm MSM8930 Snapdragon 400 (28 nm),GSM / HSPA / LTE HSPA,No,16GB,1GB
1226,htc one dual sim,htc,True,True,False,False,2013.0,Discontinued,156.0,137.8,69.3,10.4,Micro-SIM,Super LCD3,4.68,471.0,63.2,Android 4.1.2,2300.0,300.0,4.0,16:9,2073600.0,"Wi-Fi 802.11 a/b/g/n/ac, Wi-Fi Direct, DLNA, hotspot","Silver, Black","Accelerometer, gyro, proximity, compass","4.0, A2DP, aptX",Adreno 320,False,True,Qualcomm APQ8064T Snapdragon 600,GSM / HSPA HSPA 21.1/5.76 Mbps,microSDXC (dedicated slot),32GB,2GB
1227,htc one,htc,True,True,True,False,2013.0,Discontinued,143.0,137.4,68.2,9.3,Micro-SIM,Super LCD3,4.7,469.0,65.0,Android 4.1.2,2300.0,270.0,4.0,16:9,2073600.0,"Wi-Fi 802.11 a/b/g/n/ac, Wi-Fi Direct, DLNA, hotspot","Black, Silver, Red, Blue, Gold","Accelerometer, gyro, proximity, compass","4.0, A2DP, aptX",Adreno 320,False,True,Qualcomm APQ8064T Snapdragon 600,"GSM / HSPA / LTE HSPA, LTE Cat3 100/50 Mbps",No,32GB,2GB
1228,htc desire u,htc,True,True,False,False,2013.0,Discontinued,114.0,118.5,62.3,9.3,Mini-SIM,Super LCD,4.0,233.0,61.7,Android 4.0,1650.0,150.0,,5:3,384000.0,"Wi-Fi 802.11 b/g/n, hotspot","White, Black, Orange","Accelerometer, proximity","4.0, A2DP, aptX",,True,True,,GSM / HSPA HSPA,microSDHC (dedicated slot),4GB,512MB
1229,htc desire 400 dual sim,htc,True,True,False,False,2012.0,Discontinued,119.0,128.0,66.9,8.9,Mini-SIM,Super LCD2,4.3,217.0,61.5,Android OS,1800.0,240.0,2.0,5:3,384000.0,Wi-Fi 802.11 b/g/n,"Black, White, Blue","Accelerometer, proximity","4.0, A2DP, aptX",,True,True,,GSM / HSPA HSPA 14.4/5.76 Mbps,microSDHC (dedicated slot),4GB,1GB
1230,htc butterfly,htc,True,True,True,False,2012.0,Discontinued,140.0,143.0,70.5,9.1,Micro-SIM,Super LCD3,5.0,441.0,68.4,Android 4.1.1,2020.0,330.0,4.0,16:9,2073600.0,"Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct, DLNA, hotspot",Black,"Accelerometer, gyro, proximity, compass","4.0, A2DP, aptX",Adreno 320,True,True,Qualcomm APQ8064 Snapdragon 600,"GSM / HSPA / LTE HSPA, LTE Cat3 100/50 Mbps",microSDHC (dedicated slot),,
1231,htc droid dna,htc,True,True,True,False,2012.0,Discontinued,141.7,141.0,70.5,9.7,Micro-SIM,Super LCD3,5.0,441.0,69.3,Android 4.1,2020.0,280.0,4.0,16:9,2073600.0,"Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct, DLNA, hotspot",Black,"Accelerometer, gyro, proximity, compass","4.0, A2DP, aptX",Adreno 320,True,True,Qualcomm APQ8064 Snapdragon S4 Pro,"GSM / CDMA / HSPA / EVDO / LTE HSPA, LTE Cat3 100/50 Mbps, EV-DO Rev.A 3.1 Mbps",No,,
1232,htc one sv cdma,htc,True,True,True,False,2012.0,Discontinued,122.0,128.0,66.9,9.2,Micro-SIM,Super LCD2,4.3,217.0,61.5,Android 4.0.4,1800.0,180.0,2.0,5:3,384000.0,"Wi-Fi 802.11 a/b/g/n, dual-band, DLNA, hotspot","Black, White","Accelerometer, proximity, compass","4.0, A2DP, aptX",,True,True,,"CDMA / EVDO / LTE LTE Cat3 100/50 Mbps, EV-DO Rev.A 3.1 Mbps",microSDHC (dedicated slot),8GB,1GB
1233,htc one sv,htc,True,True,True,False,2012.0,Discontinued,122.0,128.0,66.9,9.2,Micro-SIM,Super LCD2,4.3,217.0,61.5,Android 4.0.4,1800.0,200.0,2.0,5:3,384000.0,"Wi-Fi 802.11 a/b/g/n, dual-band, DLNA, hotspot","Black, White","Accelerometer, proximity, compass","4.0, A2DP, aptX",Adreno 305,True,True,Qualcomm MSM8960 Snapdragon S4 Plus,"GSM / HSPA / LTE HSPA 42.2/5.76 Mbps, LTE Cat3 100/50 Mbps",microSDHC (dedicated slot),8GB,1GB
1234,htc desire sv,htc,True,True,False,False,2012.0,Discontinued,131.0,129.7,67.9,10.7,Micro-SIM,Super LCD2,4.3,217.0,59.8,Android 4.0.4,1620.0,270.0,2.0,5:3,384000.0,"Wi-Fi 802.11 b/g/n, hotspot","Radical Yellow, Stealth Black","Accelerometer, proximity","4.0, A2DP",Adreno 203,True,True,Qualcomm MSM8225 Snapdragon S4 Play,GSM / HSPA HSPA,microSDHC (dedicated slot),4GB,768MB
1235,htc one vx,htc,True,True,True,False,2012.0,Discontinued,124.7,133.5,67.6,9.2,Micro-SIM,Super LCD2,4.5,245.0,61.9,Android 4.0,1800.0,290.0,2.0,16:9,518400.0,"Wi-Fi 802.11 a/b/g/n, dual-band, DLNA, hotspot","White, Black, Gray","Accelerometer, proximity, compass","4.0, A2DP, aptX",Adreno 305,True,True,Qualcomm MSM8930 Snapdragon 400 (28 nm),"GSM / HSPA / LTE HSPA 42.2/5.76 Mbps, LTE Cat3 100/50 Mbps",microSDHC (dedicated slot),8GB,1GB
1236,htc one x+,htc,True,True,True,False,2012.0,Discontinued,135.0,134.4,69.9,8.9,Micro-SIM,Super LCD2,4.7,312.0,64.8,Android 4.1.1,2100.0,220.0,4.0,16:9,921600.0,"Wi-Fi 802.11 a/b/g/n, dual-band, DLNA, hotspot","Stealth Black, Polar White","Accelerometer, gyro, proximity, compass","4.0, A2DP, aptX",ULP GeForce 2,True,True,NVIDIA Tegra 3 AP37,"GSM / HSPA / LTE HSPA 21.1/5.76 Mbps - Global versionHSPA 42.2/5.76 Mbps, LTE Cat3 100/50 Mbps - AT&T version",No,32GB,1GB
1237,htc windows phone 8x cdma,htc,True,True,True,False,2012.0,Discontinued,132.1,132.4,66.2,10.1,Micro-SIM,S-LCD2,4.3,342.0,58.2,Phone 8,1800.0,200.0,2.0,16:9,921600.0,"Wi-Fi 802.11 a/b/g/n, dual-band","California Blue, Graphite Black, Flame Red","Accelerometer, proximity, compass","3.1, A2DP, EDR",,True,True,,"GSM / CDMA / HSPA / EVDO / LTE HSPA, LTE Cat3 100/50 Mbps, EV-DO Rev.A 3.1 Mbps",No,16GB,1GB
1238,htc windows phone 8x,htc,True,True,True,False,2012.0,Discontinued,130.0,132.4,66.2,10.1,Micro-SIM,S-LCD2,4.3,342.0,58.2,Phone 8,1800.0,170.0,2.0,16:9,921600.0,"Wi-Fi 802.11 a/b/g/n, dual-band","California Blue, Graphite Black, Flame Red, Limelight Yellow","Accelerometer, proximity, compass","3.1, A2DP, EDR/ 4.0, LE after Amber update",Adreno 225,True,True,Qualcomm MSM8960 Snapdragon S4 Plus,"GSM / HSPA / LTE HSPA, LTE Cat3 100/50 Mbps, EV-DO Rev.A 3.1 Mbps (LTE for AT&T version)",No,16GB,1GB
1239,htc windows phone 8s,htc,True,True,False,False,2012.0,Discontinued,113.0,120.5,63.0,10.3,Micro-SIM,S-LCD,4.0,233.0,60.0,Phone 8,1700.0,150.0,2.0,5:3,384000.0,Wi-Fi 802.11 b/g/n,"Domino, Fiesta Red, Atlantic Blue, High-Rise Gray","Accelerometer, proximity","3.1, A2DP, EDR/ 4.0, LE after Amber update",Adreno 305,True,True,Qualcomm  Snapdragon S4,GSM / HSPA HSPA,microSDHC (dedicated slot),4GB,512MB
1240,htc one st,htc,True,True,False,False,2012.0,Discontinued,115.0,128.0,66.9,9.3,Mini-SIM,Super LCD2,4.3,217.0,61.5,Android 4.0,1800.0,200.0,2.0,5:3,384000.0,Wi-Fi 802.11 b/g/n,"Black, White, Red","Accelerometer, proximity","4.0, A2DP, aptX",,True,True,,GSM HSPA,microSDHC (dedicated slot),4GB,1GB
1241,htc one sc,htc,True,True,False,False,2012.0,Discontinued,116.0,128.0,66.9,8.9,Mini-SIM,Super LCD2,4.3,217.0,61.5,Android 4.0,1800.0,220.0,2.0,5:3,384000.0,Wi-Fi 802.11 b/g/n,"Black, White, Orange","Accelerometer, proximity","4.0, A2DP, aptX",,True,True,,GSM / CDMA / EVDO EV-DO Rev.A 3.1 Mbps,microSDHC (dedicated slot),4GB,1GB
1242,htc desire x,htc,True,True,False,False,2012.0,Discontinued,114.0,118.5,62.3,9.3,Mini-SIM,Super LCD,4.0,233.0,61.7,Android 4.0,1650.0,190.0,2.0,5:3,384000.0,"Wi-Fi 802.11 b/g/n, DLNA, hotspot","White/Black, Prussian Blue","Accelerometer, proximity","4.0, A2DP, aptX",Adreno 203,True,True,Qualcomm MSM8225 Snapdragon S4 Play,GSM / HSPA HSPA 7.2/5.76 Mbps,microSDHC (dedicated slot),4GB,768MB
1243,htc desire vt,htc,True,True,False,False,2012.0,Discontinued,118.0,119.5,62.2,9.6,Mini-SIM,IPS LCD,4.0,233.0,61.3,Android 4.0,1650.0,200.0,,5:3,384000.0,"Wi-Fi 802.11 b/g/n, hotspot, DLNA","Black, White","Accelerometer, proximity","4.0, A2DP, aptX",Adreno 200,True,True,Qualcomm MSM7227A Snapdragon S1,GSM / HSPA HSPA,microSDHC (dedicated slot),4GB,512MB
1244,htc desire xc,htc,True,True,False,False,2013.0,Discontinued,107.0,119.5,62.3,9.4,Mini-SIM,TFT,4.0,233.0,61.2,Android 4.0,1650.0,180.0,2.0,5:3,384000.0,"Wi-Fi 802.11 b/g/n, hotspot",Black/White,"Accelerometer, proximity","4.0, A2DP, aptX",,True,True,,GSM / CDMA / EVDO EV-DO Rev.A 3.1 Mbps,microSDHC (dedicated slot),4GB,768MB
1245,htc desire vc,htc,True,True,False,False,2012.0,Discontinued,119.0,119.5,62.3,9.5,Mini-SIM,IPS LCD,4.0,233.0,61.2,Android 4.0,1650.0,150.0,,5:3,384000.0,"Wi-Fi 802.11 b/g/n, hotspot, DLNA","Black, White","Accelerometer, proximity","3.0, A2DP",Adreno 200,True,True,Qualcomm MSM7227A Snapdragon S1,GSM / CDMA / EVDO EV-DO Rev.A 3.1 Mbps,microSDHC (dedicated slot),4GB,512MB
1246,htc desire v,htc,True,True,False,False,2012.0,Discontinued,114.0,118.5,62.3,9.3,Mini-SIM,TFT,4.0,233.0,61.7,Android 4.0,1650.0,160.0,,5:3,384000.0,"Wi-Fi 802.11 b/g/n, hotspot","Black, White","Accelerometer, proximity","4.0, A2DP, aptX",Adreno 200,True,True,Qualcomm MSM7227A Snapdragon S1,GSM / HSPA HSPA 7.2/5.76 Mbps,microSDHC (dedicated slot),4GB,512MB
1247,htc desire c,htc,True,True,False,False,2012.0,Discontinued,100.0,107.2,60.6,12.3,Mini-SIM,IPS LCD,3.5,165.0,56.1,Android 4.0,1230.0,120.0,,3:2,153600.0,"Wi-Fi 802.11 b/g/n, hotspot","Polar White, Stealth Black, Flamenco Red","Accelerometer, proximity","3.0, A2DP",Adreno 200,True,True,Qualcomm MSM7225A Snapdragon S1,GSM / HSPA HSPA 14.4/5.76 Mbps,microSDHC (dedicated slot),4GB,512MB
1248,htc j,htc,True,True,False,False,2012.0,Discontinued,137.0,131.5,66.0,9.5,Mini-SIM,AMOLED,4.3,256.0,58.7,Android 4.0.4,1810.0,220.0,2.0,16:9,518400.0,"Wi-Fi 802.11 a/b/g/n, dual-band, DLNA, hotspot; WiMAX 802.16 e","Black, white, red","Accelerometer, gyro, proximity, compass","4.0, A2DP",,True,True,,GSM / CDMA / HSPA HSPA,microSDHC (dedicated slot),16GB,1GB
1249,htc droid incredible 4g lte,htc,True,True,True,False,2012.0,Discontinued,132.0,121.9,61.0,11.7,Mini-SIM,S-LCD,4.0,275.0,59.3,Android 4.0.3,1700.0,270.0,2.0,16:9,518400.0,"Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct, DLNA, hotspot",Black,"Accelerometer, gyro, proximity, compass","4.0, A2DP",Adreno 225,True,True,Qualcomm MSM8960 Snapdragon S4 Plus,"CDMA / HSPA / EVDO / LTE HSPA, LTE, EV-DO Rev. A 3.1 Mbps",microSDHC (dedicated slot),8GB,1GB
1250,htc evo 4g lte,htc,True,True,True,False,2012.0,Discontinued,134.0,134.8,68.9,8.9,Mini-SIM,Super IPS LCD2,4.7,312.0,65.6,Android 4.0.3,2000.0,180.0,2.0,16:9,921600.0,"Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct, DLNA, hotspot","Gray, White","Accelerometer, gyro, proximity, compass","4.0, A2DP",Adreno 225,True,True,Qualcomm MSM8960 Snapdragon S4 Plus,"CDMA / EVDO / LTE LTE Cat3 100/50 Mbps, EV-DO Rev.A 3.1 Mbps",microSDHC (dedicated slot),16GB,1GB
1251,htc one xc,htc,True,True,False,False,2012.0,Discontinued,138.5,134.8,69.0,9.5,Mini-SIM,IPS LCD,4.7,312.0,65.5,Android 4.0,2000.0,200.0,2.0,16:9,921600.0,"Wi-Fi 802.11 b/g/n, hotspot",Black,"Accelerometer, gyro, proximity, compass",Yes,,True,True,,GSM / CDMA / EVDO EV-DO Rev.A 3.1 Mbps,No,16GB,1GB
1252,htc one x,htc,True,True,False,False,2012.0,Discontinued,130.0,134.4,69.9,8.9,Micro-SIM,Super IPS LCD2,4.7,312.0,64.8,Android 4.0,1800.0,170.0,4.0,16:9,921600.0,"Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct, DLNA, hotspot","Gray, White","Accelerometer, gyro, proximity, compass","4.0, A2DP, aptX",ULP GeForce,True,True,Nvidia Tegra 3,GSM / HSPA HSPA 21.1/5.76 Mbps,No,,
1253,htc one x at&t,htc,True,True,True,False,2012.0,Discontinued,129.0,134.8,69.9,8.9,Mini-SIM,Super IPS LCD2,4.7,312.0,64.6,Android 4.0,1800.0,190.0,2.0,16:9,921600.0,"Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct, DLNA, hotspot","Gray, White","Accelerometer, gyro, proximity, compass","4.0, A2DP, aptX",Adreno 225,True,True,Qualcomm MSM8960 Snapdragon S4 Plus,"GSM / HSPA / LTE HSPA 21.1/5.76 Mbps, LTE Cat3 100/50 Mbps",No,16GB,1GB
